annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2011016;SAMEDI  ;20110205;20110407;31;22;37;6;1;7;1-6-22-31-37+7;1;3000000;3;113986,2;641;1148,1;31203;10,2;452718;5;1053053;2;5 246 704;eur;
2011015;MERCREDI;20110202;20110404;27;6;44;23;22;3;6-22-23-27-44+3;0;0;0;0;497;1586;24645;9,4;353470;4,7;506278;2;3 002 770;eur;
2011014;LUNDI   ;20110131;20110402;20;10;13;43;3;5;3-10-13-20-43+5;1;2000000;2;82776,6;479;743,8;20543;7,5;248113;4,4;385584;2;1 490 684;eur;
2011013;SAMEDI  ;20110129;20110331;14;33;44;31;12;8;12-14-31-33-44+8;1;14000000;2;198305,9;682;1251,5;32839;11,2;496778;5,3;710367;2;2 382 892;eur;
2011012;MERCREDI;20110126;20110328;23;45;6;48;17;1;6-17-23-45-48+1;0;0;2;150606,8;569;1139,3;25335;11;377398;5,3;435442;2;1 158 514;eur;
2011011;LUNDI   ;20110124;20110326;3;39;6;48;9;4;3-6-9-39-48+4;0;0;3;68679;494;897,6;21466;8,9;277672;4,9;386125;2;1 906 245;eur;
2011010;SAMEDI  ;20110122;20110324;13;27;6;31;8;7;6-8-13-27-31+7;0;0;4;92798,4;1343;594,8;48796;7;579760;4,2;1111120;2;0 773 509;eur;
2011009;MERCREDI;20110119;20110321;36;4;12;13;1;4;1-4-12-13-36+4;0;0;1;286661,9;669;922,1;32682;8,1;438120;4,3;535242;2;5 977 704;eur;
2011008;LUNDI   ;20110117;20110319;48;49;36;24;21;5;21-24-36-48-49+5;0;0;0;0;344;1740,9;14943;11,8;226370;5,5;435206;2;6 503 040;eur;
2011007;SAMEDI  ;20110115;20110317;26;43;6;36;29;8;6-26-29-36-43+8;0;0;1;360209,7;557;1391,8;27710;12,1;410934;5,8;659939;2;9 055 796;eur;
2011006;MERCREDI;20110112;20110314;41;40;30;28;17;7;17-28-30-40-41+7;0;0;1;270442;343;1696,9;18860;13,3;303697;5,9;823225;2;3 800 351;eur;
2011005;LUNDI   ;20110110;20110312;35;33;40;37;11;4;11-33-35-37-40+4;0;0;0;0;267;2081,6;12674;12,9;184584;6,3;340781;2;5 498 393;eur;
