annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2011001;VENDREDI;20110401;20110601;29;28;39;45;19;8;19-28-29-39-45+8;0;0;3;155462;868;1156,3;40208;10,8;571077;5,4;848437;2;1 322 688;eur;
2010003;VENDREDI;20101231;20110302;23;8;30;15;1;7;1-8-15-23-30+7;1;10000000;16;51094,7;1903;699,9;70269;8,2;866581;4,7;1540381;2;6 355 494;eur;
2010002;VENDREDI;20101224;20110223;43;38;25;42;21;9;21-25-38-42-43+9;1;10000000;4;158730,9;838;1234,4;37919;11,8;574154;5,5;832674;2;6 613 705;eur;
2010001;VENDREDI;20100813;20101013;32;19;41;29;43;5;19-29-32-41-43+5;1;13000000;3;343262,9;1337;1254,9;59786;12,1;874054;5,9;1667953;2;6 479 963;eur;
2009003;VENDREDI;20091113;20100113;15;48;21;17;14;8;14-15-17-21-48+8;1;17000000;7;139895,3;1469;1215;70527;11,1;1060707;5,3;1566827;2;6 805 243;eur;
2009002;VENDREDI;20090313;20090513;14;12;9;34;6;6;6-9-12-14-34+6;2;7500000;9;98716,7;2134;760,7;86616;8,1;1099121;4,5;1422118;2;2 865 803;eur;
2009001;VENDREDI;20090213;20090415;37;26;6;8;43;3;6-8-26-37-43+3;0;0;6;157518,6;1434;1214,2;69503;11;1039428;5,2;1641721;2;3 148 845;eur;
